English,Greek
Cannot remove special entries.,Cannot remove special entries.
Must specify ID of object,Must specify ID of object
Enable debug mode before using this command.,Enable debug mode before using this command.
Invalid maintenance reason: {0}. Valid options are [{1}],Invalid maintenance reason: {0}. Valid options are [{1}]
The animal that's currently being debugged will move toward the specified destination (just specifify the x and z coordinates),The animal that's currently being debugged will move toward the specified destination (just specifify the x and z coordinates)
The animal that's currently being debugged will change state to lie down (or idle if he doesn't have a lie down state).,The animal that's currently being debugged will change state to lie down (or idle if he doesn't have a lie down state).
You cannot remove user from the channel because {0} is the creator of this channel.,You cannot remove user from the channel because {0} is the creator of this channel.
Select color of map entry,Select color of map entry
Voting in {0},Voting in {0}
You {0} vote in this election because you {1} a member of {2}.,You {0} vote in this election because you {1} a member of {2}.
A basic moorage post made from wood to anchor smaller vessels in place.,A basic moorage post made from wood to anchor smaller vessels in place.
The founding stone for civilization.,The founding stone for civilization.
A  vase made with glass to brighten up your home.,A  vase made with glass to brighten up your home.
Statue,Statue
Documenting a court case is of vital importance and a dedicated unique typewriter is required for this purpose and of course its own table to place it on.,Documenting a court case is of vital importance and a dedicated unique typewriter is required for this purpose and of course its own table to place it on.
An iron moorage post that makes sure that even the largest of vessels stay still.,An iron moorage post that makes sure that even the largest of vessels stay still.
Mount,Mount
An explorers best collection of information is stored here.,An explorers best collection of information is stored here.
A way to store your items when you run out of floor space.,A way to store your items when you run out of floor space.
Immigration requirements and decisions needs to pass an immigration desk before approval.,Immigration requirements and decisions needs to pass an immigration desk before approval.
A specialized kiln used to transform sand into buildable blocks and decorations.,A specialized kiln used to transform sand into buildable blocks and decorations.
A leap into globalization and a united federation.,A leap into globalization and a united federation.
Where papers are signed and foreign affairs are settled.,Where papers are signed and foreign affairs are settled.
Artifact,Artifact
A vital part of the courtroom.,A vital part of the courtroom.
A chair for legal sittings.,A chair for legal sittings.
When a town simply cannot contain your ambition.,When a town simply cannot contain your ambition.
A thin shaped piece of glass very useful for devices used to interact with light.,A thin shaped piece of glass very useful for devices used to interact with light.
A sturdy basic combination of lines making a mesh used for catching fish on a larger scale.,A sturdy basic combination of lines making a mesh used for catching fish on a larger scale.
A bundle of cotton used as stuffing or further tailoring processing.,A bundle of cotton used as stuffing or further tailoring processing.
A solid copper plate giving higher grades of protection against erosion and improves conductivity.,A solid copper plate giving higher grades of protection against erosion and improves conductivity.
A sturdy construction material poured around a latice of rebar.,A sturdy construction material poured around a latice of rebar.
{0} Value,{0} Value
These claims must be used on claim stakes within the influence of {0}.,These claims must be used on claim stakes within the influence of {0}.
Part of the {0},Part of the {0}
A {0} Deed which claims no property.,A {0} Deed which claims no property.
Owner:,Owner:
Property Value:,Property Value:
Users Not Meeting Citizen Requirements,Users Not Meeting Citizen Requirements
Can Be Performed At:,Can Be Performed At:
Claimed Plots:,Claimed Plots:
Culture:,Culture:
{0} on property:,{0} on property:
No rooms on property.,No rooms on property.
 ({0} value), ({0} value)
NOTE: {0} can be at most {1} of the value of the primary rooms of the property (currently {2}). Dropping value of {3} from {4} to {5}.,NOTE: {0} can be at most {1} of the value of the primary rooms of the property (currently {2}). Dropping value of {3} from {4} to {5}.
 - {0} point reduction: {1}, - {0} point reduction: {1}
Admin applied value boost: {0},Admin applied value boost: {0}
 (No penalty for room count because of residents number: {0}), (No penalty for room count because of residents number: {0})
Room,Room
{0} ({1} support),{0} ({1} support)
 - Ignoring {0}: {1} property doesnt receive value from {2} rooms., - Ignoring {0}: {1} property doesnt receive value from {2} rooms.
 - Ignoring {0}: doesn't support {1}., - Ignoring {0}: doesn't support {1}.
Capping value of {0} support ({1}) to {2} of {3} furnishings ({4}).  Resulting value: {5}.,Capping value of {0} support ({1}) to {2} of {3} furnishings ({4}).  Resulting value: {5}.
{0} prevents this room from providing housing value:{1},{0} prevents this room from providing housing value:{1}
No valid objects found to give this room a type.,No valid objects found to give this room a type.
 - Material quality: {0}, - Material quality: {0}
Room Value,Room Value
Points are applied to the {0} of residents on {1}.,Points are applied to the {0} of residents on {1}.
Your home now provides {0} ({1} change),Your home now provides {0} ({1} change)
Residence: {0},Residence: {0}
Character XP Rate,Character XP Rate
details,details
Failed: Property is set to give culture points but it is not a part of any settlement!,Failed: Property is set to give culture points but it is not a part of any settlement!
Cultural: {0},Cultural: {0}
Start a Claim for {0},Start a Claim for {0}
"To place, location must be:","To place, location must be:"
 - Within an unclaimed plot., - Within an unclaimed plot.
 - Outside of the influence of all other {0}., - Outside of the influence of all other {0}.
 - Inside the influence a town in which you are a citizen., - Inside the influence a town in which you are a citizen.
Place on an unclaimed plot outside the influence of any other {0}.,Place on an unclaimed plot outside the influence of any other {0}.
"Plots must be claimed inside the influence of the owning settlement, {0}.","Plots must be claimed inside the influence of the owning settlement, {0}."
