English,Portuguese
and {0} {1},
for {0} {1},
Started memory profiler snapshot.,
Agree,
Disagree,
Wonder,
Clap,
Exhausted,
Shy,
Nervous,
Kneel,
"Width of the world in chunks, must be divisible by 4",
World Width,
"Length of the world in chunks, must be divisible by 4",
World Length,
Global scale for how quick plants mature.,
Growth Rate Multiplier,
Unreviewed,
Approved,
Blocked,
Middle,
Election Power Flags,
Client Sync Performance Tracker,
performance,
Reserved Slots,
weather,
Shows commands for manipulations weather.,
"Set the weather to rain today at specific time(start time, end time).",
heavyrain,
"Set the weather to heavy rain today at specific time(start time, end time).",
Set the weather to clear today.,
WeatherPlugin,
Add or Remove System Sources,
giveall,
Give yourself all items matching the given search.,
invisible,
Make your character invisible,
clap,
shy,
kneel,
stretch,
Stretch,
wonder,
shrug,
Shrug,
exhausted,
tired,
Tired,
disagree,
agree,
nervous,
confused,
Confused,
"Gives a skill matching the given name. If no target user is set, apply to self.",
Leader,
"Settlement we want to invite to join this settlement, or accept if they've already applied.",
Add Child Settlement,
"Settlement we want to apply to join, or immediately join if they've already invited us.",
Join Settlement,
rebuildinfluence,
Recalc influence for settlements and display stats.,
rebuildcivicpowers,
Recalc civic powers for all settlements and users.,
civicpowers,
Displays your civic powers.,
populatetown,
Fill the town on this plot with citizens.,
Settlement Name Upon Founding,
Allows the initial founding of the settlement once requirements are met.,
Manages the contained settlements of this settlement.,
removeemptydeeds,
Remove empty deeds,
Higher value priority means players will enter sooner.,
Users assigned to a queue priority will advance to the front of the line of players with a lower number priority when trying to connect while the server is full.  Use either SLG ID or STEAMID64,
Max Allowed Texture Size,
Texture Review Required,
Allow Texture Upload,
"Should newly submitted textures wait for approval before displaying them? This is a layer of protection against displaying inappropriate images to the players, and should stay enabled on public servers.",
Should users be able to upload texture,
UserTexturePlugin,
Living Room,
SpoilagePlugin,
Labor Contributed,
Calories of labor contributed.,
Mount Action,
Mount an object.,
Auth Action,
New Settlement,
Is this position being claimed for a new settlement?,
Bank accounts serve as a storage and separation of currency for different uses by various citizens and government entities.,
"When this object is fully enabled, and the Constitution is valid, an election can be started to ratify the constitution and found the settlement.",
"Force-end the specified election, adding a vote if true is passed (default). If no election found, pass any, including draft ones.",
Recurring Transfer Frequency In Minutes,
Max Percent Twitch Votes,
Applies To,
"Defines how civic actions are performed, and how officials are elected or appointed.",
How to proceed if there was a tie in the election.,
"How many occupants may hold this title at once? After an election, this many candidates will be put into the position, choosing from those with the most votes.",
"After a title has been held for this many days, a new election may be started for the position (if no election is started, the current occupants will remain until one is).",
Civic Object,
Game Picker List Alias,
The user whose personal currency will be used.,
Represents the personal currency of a citizen.,
Performing Civic Actions,
Changing Civic Objects,
Specific Civic Abilities,
All Other Civic Abilites,
"Covers any other civic action, if it's not referenced in any other condition.",
Is Fishable,
Can catch this animal with fishing rod,
Tailings Pollution Underground Halving Distance,
How many units deeper underground tailings must be moved to halve the amount of ground pollution they cause.,
Min Tree Spawn Distance,
Min Tree Spawn Distance Sq,
Minimum distance between trees. Lower values can impact performance negatively.,
Point Radius,
Land Percent Range,
Land Percent,
Coastline Size,
Shallow Ocean Size,
Desert Weight,
Warm Forest Weight,
Cool Forest Weight,
Taiga Weight,
Tundra Weight,
Ice Weight,
Rainforest Weight,
Wetland Weight,
Steppe Weight,
High Desert Weight,
Num Continents Range,
Continent Avoid Range,
Num Continents,
Num Small Islands Range,
Island Avoid Range,
Num Small Islands,
Island Weight,
Num Rainforests,
Num Warm Forests,
Num Cool Forests,
Num Taigas,
Num Tundras,
Num Ices,
Num Deserts,
Num Wetlands,
Num High Deserts,
Num Steppes,
Lake Size Range,
Num Lakes Range,
Num Lakes,
Num Rivers Range,
River Cell Avoidance,
River Cell Width,
Num Rivers,
Max Elevation Ocean Distance,
Elevation Power,
Auto Scale,
Auto Scale Exponent,
Scale Modifier,
Inverse Scale Modifier,
Linear Scale Modifier,
Inverse Linear Scale Modifier,
Save Terrain Image,
Map Size Preset,
Voronoi World Generator Config,
Presets of settings suitable for worlds of various sizes. Changes dimensions and various advanced configurations,
Chunk dimensions of the world along X-Z. Both dimensions must have the same value and be divisible by 4,
Advanced configurations,
New Name,
"Rename this settlement, and attached objects if the name still matches (demographic, leader, immigration policy, etc).",
Change Settlement Name,
Picture,
Deeper Pockets: SelfImprovement,
Glutton: SelfImprovement,
Master Tracker: Hunting,
Power Shot: Hunting,
Macarons,
Flax Fiber,
Flax Stem,
Linen Fabric,
Linen Yarn,
Spoiled Food,
Flax Seed,
Flax Seed Pack,
Fiber Scutching Station,
Picture Frame,
Spinning Jenny,
Wooden Kitchen Lamp,
startTime,
endTime,
growthPercent,
settlementsWhereYoureACitizenOnly,
foundTown,
newCitizenCount,
newApplicantCount,
newInviteeCount,
votes,
Perform Store Trade,
Making yarn and threads made easy!,
A lumber dresser that lets you store your clothing and quickly switch between a designated outfit and whatever you are currently wearing.,
A larger food storage solution for when you want to keep it fresh!,
A rough hewn wooden dresser that lets you store your clothing and quickly switch between a designated outfit and whatever you are currently wearing.,
A group of different tools used in the processing of plant based cloth products. Excellent for a renaissance fair display.,
For construction contracts.,
A composite lumber dresser that lets you store your clothing and quickly switch between a designated outfit and whatever you are currently wearing.,
"A store in a wooden cart, very useful when your customers are far away.",
Creating new clothes and setting trends. Levels up by crafting related recipes.,
Plant to grow a spruce tree.,
Plant to grow flax.,
Flax,
Food that has spoiled beyond the point of being suitable for human consumption. It can still be used for compost.,
A picture displaying a captured moment.,
Flax fibers spun into a usable string commonly known as linen yarn.,
A rough linen fabric that covers your basic needs.,
A bundle of harvested flax that can be processed into fabric.,
Processed fibers of flax ready to be spun into yarn.,
Rice grounded into flour is as equally versatile as its golden cousin.,
Canopy Window,
Increases the damage tier of Bows,
A master tracker is capable of following its prey over the highest peaks or through the densest of jungles.,
Every hit has a chance of destroying tree stumps and splitting trunks immediately.,
Increase you stomache capacity count by 1000cal.,
Increase your inventory size by 5kg.,
Allows to pick up debris by hand that costs no calories.,
Not enough space in the inventory.,
Secretary-General,
Cannot clear saved state of {0}!,
Name is not valid: {0},
The settlement '{0}' already exists.,
New name must be set.,
New name must be set to a different name the the current settlement name.,
Rename failed.,
"On {0}, rename from '{1}' to '{2}.",
Spawn all doors.,
Spawn all signs and add a random text to it.,
Spawn storage with all type of doors,
Spawns storage with sign containing items,
Spawns storage with bed items,
World Generator,
No Client directory found. String localization data not saved.,
Performance reports saved to {0}.,
"This server has exhaustion, therefore you can only work for a limited amount of time each day, then you have to rest until the next day.",
