,Property type can't be changed from Cultural because this deed is on a settlement foundation object ({0}).,
,Only an owner may change property type.,
,Can't remove plots that are under {0} which is the deed host object.,
,"{0} listed {1} as a citizen, but {2} did not list that as its citizenship. Removing from {3} citizen list.",
,"You wake up on the shore, feeling exhausted",
,Can't seed {0} at {1}. It is too high to growth here.,
,You can now attach the official {0} for the {1} {2} on this {3}.,
,There is 1 orphaned {0} {1},
,There are {0} orphaned {1} {2},
,Cannot attach objects of different settlement origins to the same {0}.,
,with no host.,
,associated with settlements at this position {0}.,
,{0} is placed {1}.,
,"Can't be placed, no solid block found at max depth of {0}.",
,Must be placed on water.,Необхідно розмістити на воді.
,"Component {0} has to explicitly define [HasIcon] or [NoIcon], because it's parent has [DerivedMustDefineIcon].",
,{0} had 'Ignore Requirements' were set to {1}.,
,No object with status component was found within 5 meter.,
,"Object is force-enabled via admin, ignoring requirements.",
,Can't interact with vehicle while navigating.,
,Automatic restart at {0} (Reason: {1}),
,User Maintenance Scheduled at {0} (Reason: {1}),
,You've earned {0}.,Ви заробили {0}.
,Contained {0}:,
,this.Nitrogen,
,this.Phosphorus,
,this.Potassium,
,Add to a Claim Stake to increase the number of plots you can claim on it.,
,Too far to do that.,
,{0} attempting interaction from too far.,
,Add more claim papers to increase max.,
,Can't build above the ocean.,Неможливо будувати над океаном.
,Can't build in the deep ocean.,Неможливо будувати в глибокому океані.
,Taxes:,Податки:
,Direct Transfer Tax:,
,Direct Transfer Tax (self):,
,Property Tax:,
,Remove meteor impact hours,
,There are no items to take.,
,On Off,
,Minted currency: {0} created {1}.,
,Elevator,Ліфт
,Can't change associated settlement while there are active or proposed {0}.,
,{0} does not have Settlement of Jurisdiction and can not be removed.,
,Jurisdiction,Юрисдикція
,The assigned settlement {0} does not influence this position.,
,The assigned settlement {0} influences this position.,
,No settlement is assigned for jurisdiction.,
,Export Icon List,
,Failed to send message to Twitch EBS,
,Copied to Clipboard.,Скопійовано в буфер обміну.
,Hold F for more informtion,
,"When using the Handheld camera a copy of the photos will be stored in your PC (folder my documents). You can change this value to limit the amount of photos stored, if you take more photos than the max number old photos will be replaced","Коли ви використовуєте ручну камеру, копії знімків зберігаються на вашому ПК (в теці з документами). Змініть це значення, щоб обмежити кількість збережених знімків — перевищивши максимальну кількість, старі знімки замінятимуться новими"
,of name,
,Subtitle,
,Must have an Elected Title in a settlement to select or change this.,
,Window Named sdsdsd,
,Associated Settlement,
,Camera settings:,
,Recalibrate,
,"Eventually, you can build towards combining multiple towns into a Country, the next higher level Settlement. \n\nRead more about Settlements System in the Ecopedia.",
,"It will begin casting influence based on its culture levels, and anything under its influence will be affected by its laws.",
,"\nBy default it makes all Town decisions decided via election, but can be changed however you like.",
,"Once the Constitution passes election, press the 'Found Town' button to unveil your new town to the world.",
,You will need to define your Town Constitution and start an election to have it ratified in order to found the town.\n,
,"Congratulations! Now you have a Town Foundation, which means you can start a brand new Town Settlement by placing it inside a room.",
,How to Start a New Town,
,A new Town will start as a draft. In the Status Tab you can see what requirements should be met by a Town before it can be founded.,
,"You can distribute these however you like, but keep in mind that if Citizens leave the town the claims can be cancelled.",
,"As more citizens join a Town, it will generate additional claim stakes and claim papers.\r",
,Folders,
,Enable gaze tracking,
,Start Facetracking,
,Select camera tracking quality:,
,Select camera:,
,Select camera settings:,
,Select camera frame rate:,
,Limit locally saved photos. (remove oldest),
,Give us Feedback,
,Make suggestions and vote on improvements you want to see in the game.,
,Foundation Status,
,Game,Гра
,Max Number of photos stored in PC,
,Admin Assign,
,Cancel Application,
,Structure\n,
,This monument marks the beginning of a Town.\nIt is not yet founded.,
,Found Town,
,Show webcam image,
,Citizens of a Town,Громадяни міста
,Facetracking status:,
,Found,
,Current Facetracking status:,
,Culture Wars,Культурні війни
,Show advanced settings,Показати розширені налаштування
,Hide advanced settings,Приховати розширені налаштування
,Face advanced settings:,Розширені налаштування обличчя:
,Enable wink support,
,Honk,
,Fishnet Down/Up,
,You need film to take photos,"Вам потрібна плівка, щоби робити знімки"
,You need to repair the camera to take photos,"Вам потрібно відремонтувати камеру, щоби робити знімки"
,Press to open the folder where\nphotos are stored,
,Camera Film,
,Test Object Culture,
Chat command,removeallbut,
Chat command,fixobjects,
Help text for chat command /fixobjects,"Destroys all physical objects with illegal positions outside the world. (worldobjects, vehicles, trees, rubbles etc)",
Chat command,fixtrunks,
Help text for chat command /fixtrunks,Destroys all trunks outside the world,
Chat command,clearfallentrees,
Help text for chat command /clearfallentrees,Removes fallen trees,
,Allow Option To Prevent Settlements From Seceding,
,Enabling this will add a new check inside immigrations policies that will give the players the option to prevent any child settlement from seceding.,
,Allow Foreign Property Ownership,
,Property Heir When Citizens Leave,
,Allow Child Settlements To Secede,
,"Disallowing this would prevent citizens, titles and demographics that aren't part of this settlement from owning any property that's under it's influence sphere.",
,The heir that will receive all the properties that were abandoned by the leaving citizen.,
,"If this is unchecked, child settlements will not be allowed to secede or join another settlement that's not a child of this settlement.",
,SpeciesLayeredCatchPlugin,
,Catchers,
Parameter for chat command /fixobjects,teleportVehicles,
,Found: {0} objects with illegal position,
,Destroyed {0}:ID:{1}:POS:{2},
,Destroyed: {0} objects with illegal position,
,Wasn't able to destroy: {0}.,
,MJPEG (Slow),
,Preparing facetracking,
,Success!,
,Failed...,
,QA Test Object adding Culture value.,
,A film used inside a camera.,
,Downloading Mods (Wait a bit),
,Plot already owned by {0}.,
,Enables unrestricted avatar customization in game,
,Annexations List,
